cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
4107751,FIGUEIRA,85.51,63.91,129.769
4107850,FLOR DA SERRA DO SUL,34.79,19.75,238.907
4107900,FLORESTA,92.23,37.48,158.226
4108007,FLORESTÓPOLIS,93.96,45.56,246.331
4112504,JARDIM ALEGRE,58.19,30.4,413.386
2110401,SÃO BENEDITO DO RIO PRETO,62.1,19.11,931.485
2110500,SÃO BENTO,57.7,88.74,456.997
2110609,SÃO BERNARDO,44.6,26.29,1005.824
2110658,SÃO DOMINGOS DO AZEITÃO,71,7.27,961.249
2110708,SÃO DOMINGOS DO MARANHÃO,51.5,29.17,1151.978
2110807,SÃO FÉLIX DE BALSAS,34.6,2.31,2032.599
2112308,TUNTUM,45.8,11.56,3369.121
2112407,TURIAÇU,32.2,13.16,2622.281
2112456,TURILÂNDIA,45.3,15.11,1507.622
2112506,TUTÓIA,35.4,31.96,1566.08
2112605,URBANO SANTOS,70.7,20.35,1707.621
2112704,VARGEM GRANDE,54,25.24,1958.702
2112803,VIANA,54.4,42.36,1166.745
2112852,VILA NOVA DOS MARTÍRIOS,55,9.47,1190.008
2112902,VITÓRIA DO MEARIM,47.4,43.56,716.719
2113009,VITORINO FREIRE,51.1,24.26,1193.385
2114007,ZÉ DOCA,61.5,20.77,2140.109
2200053,ACAUÃ,13.35,5.27,1280.838
4109302,GUARANIAÇU,53.52,11.9,1238.32
4109401,GUARAPUAVA,91.43,53.69,3168.087
4109500,GUARAQUEÇABA,34.09,3.9,2017.03
4109609,GUARATUBA,89.75,24.21,1326.67
4109658,HONÓRIO SERPA,33.38,11.86,502.235
4109708,IBAITI,80.4,32.03,898.221
2926103,RETIROLÂNDIA,55.8,66.43,242.329
2926202,RIACHÃO DAS NEVES,49,3.87,5977.931
2926301,RIACHÃO DO JACUÍPE,59.9,27.87,1155.418
4110078,IMBAÚ,62.62,34.03,330.703
4110102,IMBITUVA,62.86,37.61,756.535
4110201,INÁCIO MARTINS,57.46,11.68,936.208
2200277,ALEGRETE DO PIAUÍ,55.06,18.23,243.732
4110508,IPIRANGA,34.55,15.26,927.087
4110607,IPORÃ,78.61,23.12,647.894
4111407,IVAÍ,36.12,21.08,607.848
4111506,IVAIPORÃ,86.24,73.73,431.502
4111555,IVATÉ,69.64,18.29,410.907
2926400,RIACHO DE SANTANA,42.7,11.87,3183.911
4110953,ITAIPULÂNDIA,52.53,27.25,330.846
4111100,ITAMBÉ,94.9,24.52,243.822
4111209,ITAPEJARA D'OESTE,66.35,41.46,254.014
4111258,ITAPERUÇU,83.54,75.97,320.578
4123857,SANTA MARIA DO OESTE,27.92,13.58,836.669
2926806,RIO DO ANTÔNIO,40.5,18.19,777.903
4112751,JESUÍTAS,67.44,36.37,247.496
4112801,JOAQUIM TÁVORA,76.56,37.13,289.173
4112900,JUNDIAÍ DO SUL,57.56,10.7,320.816
4112959,JURANDA,76.42,21.85,354.364
2927200,RUY BARBOSA,73.9,13.76,1991.772
2928307,SANTANÓPOLIS,19.2,38.02,222.686
4113205,LAPA,60.58,21.46,2093.859
4113254,LARANJAL,31.93,11.37,559.439
4113304,LARANJEIRAS DO SUL,81.33,45.79,667.812
2928950,SÃO DOMINGOS,64.1,28.22,289.963
4114906,MARILÂNDIA DO SUL,71.24,23.06,384.424
4115101,MARILUZ,82.81,23.6,433.17
2929370,SÃO JOSÉ DO JACUÍPE,68.7,25.07,362.365
4113908,MALLET,58.35,17.94,753.713
4114005,MAMBORÊ,64.35,17.72,788.061
4114104,MANDAGUAÇU,88.9,67.28,294.019
4114203,MANDAGUARI,94.72,97.25,335.814
4114302,MANDIRITUBA,33.37,58.6,379.179
4114351,MANFRINÓPOLIS,20.85,14.45,216.415
4114401,MANGUEIRINHA,49.24,16.15,1055.458
4114500,MANOEL RIBAS,51.67,23.06,571.135
4114609,MARECHAL CÂNDIDO RONDON,83.61,62.59,745.748
2929701,SÁTIRO DIAS,22.8,18.78,949.223
4115408,MARMELEIRO,63.48,35.85,387.612
4115457,MARQUINHO,10.52,9.74,509.735
4115507,MARUMBI,68.24,22.08,208.47
4115606,MATELÂNDIA,72.23,25.13,639.746
4115705,MATINHOS,99.49,249.93,117.899
4115739,MATO RICO,25.07,9.68,394.533
2402501,CARNAUBAIS,48.73,17.99,517.737
2402600,CEARÁ-MIRIM,52.09,94.07,724.838
4126702,TAMBOARA,85.68,24.12,193.346
4126801,TAPEJARA,90.19,24.68,591.399
4126900,TAPIRA,58.86,13.44,434.371
4127007,TEIXEIRA SOARES,46.64,11.39,902.793
4127106,TELÊMACO BORBA,97.95,50.53,1382.86
4116059,MISSAL,51.75,32.29,324.397
4116208,MORRETES,45.67,22.96,684.58
4118907,PÉROLA,79.06,42.42,240.635
4119004,PÉROLA D'OESTE,47.14,32.81,205.279
4119103,PIÊN,40.25,44.08,254.792
4119152,PINHAIS,100,1926.09,60.869
4119202,PINHALÃO,63.14,28.17,220.625
4116604,NOVA AMÉRICA DA COLINA,72.57,26.86,129.476
4116703,NOVA AURORA,76.18,25.03,474.011
4116802,NOVA CANTU,55.27,13.37,555.488
4116901,NOVA ESPERANÇA,91.39,66.27,401.587
4117222,NOVA SANTA ROSA,69.7,37.26,204.665
4117271,NOVA TEBAS,39.08,13.56,545.686
4117297,NOVO ITACOLOMI,56.17,17.51,161.411
4117305,ORTIGUEIRA,41.01,9.62,2429.564
4117404,OURIZONA,90.06,19.15,176.457
4117453,OURO VERDE DO OESTE,70.96,19.42,293.042
2402709,CERRO CORÁ,43.44,27.74,393.573
4117602,PALMAS,92.79,27.36,1557.903
2402808,CORONEL EZEQUIEL,42.05,29.1,185.748
2402907,CORONEL JOÃO PESSOA,37.24,40.74,117.139
2705408,MONTEIRÓPOLIS,36.3,80.54,86.604
3149705,PERDIGÃO,88.22,35.77,249.322
3149804,PERDIZES,68.97,5.88,2451.112
3149952,PERIQUITO,75.17,30.74,228.907
3150406,PIEDADE DOS GERAIS,45.73,17.87,259.638
4120101,PORTO AMAZONAS,65.31,24.19,186.581
4120150,PORTO BARREIRO,18.86,10.15,361.02
3152105,PONTE NOVA,89.19,121.94,470.643
4120333,PRADO FERREIRA,87.8,22.39,153.399
4120358,PRANCHITA,64.05,24.92,226.14
3152808,PRATA,75.11,5.32,4847.544
3153806,QUELUZITO,45.51,12.12,153.56
3154606,RIBEIRÃO DAS NEVES,99.27,1917.9,155.105
3155504,RIO PARANAÍBA,61.32,8.79,1352.353
3155603,RIO PARDO DE MINAS,40.18,9.33,3117.675
4120903,QUEDAS DO IGUAÇU,68.57,37.25,821.503
3156304,RODEIRO,80.91,94.49,72.673
4121208,QUITANDINHA,28.6,38.23,447.024
5209606,HEITORAÍ,74.1,15.55,228.615
5209705,HIDROLÂNDIA,60.2,18.43,952.122
4122651,ROSÁRIO DO IVAÍ,48.69,15.05,371.25
3160108,SANTO ANTÔNIO DO GRAMA,82.37,31.37,130.213
4122800,SALGADO FILHO,51.19,23.26,189.315
3161601,SÃO GERALDO DA PIEDADE,24.01,28.81,152.336
3161650,SÃO GERALDO DO BAIXIO,69.99,12.41,280.954
4123006,SALTO DO LONTRA,54.28,43.77,312.717
4123204,SANTA CECÍLIA DO PAVÃO,83.85,33.09,110.199
4123808,SANTA IZABEL DO OESTE,56.51,40.89,321.182
2705705,OLHO D'ÁGUA DAS FLORES,68.7,111.01,188.221
3163003,SÃO JOSÉ DA SAFIRA,72.27,19.05,213.881
3163102,SÃO JOSÉ DA VARGINHA,56.5,20.43,205.501
4124020,SANTA TEREZA DO OESTE,77.77,31.67,326.19
4124103,SANTO ANTÔNIO DA PLATINA,86.51,59.19,721.472
3164001,SÃO PEDRO DOS FERROS,81.18,20.75,402.739
4125100,SÃO JOÃO DO TRIUNFO,29.54,19.02,720.407
4125209,SÃO JORGE D'OESTE,57.39,23.94,379.545
4125308,SÃO JORGE DO IVAÍ,86.66,17.51,315.088
4127502,TIBAGI,60.32,6.55,2951.567
4127601,TIJUCAS DO SUL,15.72,21.63,671.889
4127700,TOLEDO,90.74,99.68,1198.049
4127809,TOMAZINA,46.85,14.86,591.438
4127858,TRÊS BARRAS DO PARANÁ,51.55,23.45,505.505
4127882,TUNAS DO PARANÁ,44.63,9.36,668.478
3164431,SÃO SEBASTIÃO DA VARGEM ALEGRE,57.29,38,73.629
4300802,ANTÔNIO PRADO,71.96,36.92,348.132
3165305,SÃO VICENTE DE MINAS,84.76,17.85,392.651
3165800,SENADOR JOSÉ BENTO,36.56,19.9,93.892
4310405,INDEPENDÊNCIA,62.81,18.51,358.283
4310413,INHACORÁ,59.37,19.87,113.749
4310439,IPÊ,48.42,10.04,599.361
4310462,IPIRANGA DO SUL,34.93,12.31,158.71
4310504,IRAÍ,55.17,44.34,181.579
3166808,SERRA DO SALITRE,73.51,8.14,1295.272
3167509,SIMÃO PEREIRA,58.97,18.7,135.689
4301875,BARRA DO QUARAÍ,70.79,3.8,1055.937
4301909,BARRA DO RIBEIRO,73.9,17.25,729.316
4301925,BARRA DO RIO AZUL,20.12,13.62,146.995
4301958,BARRA FUNDA,64.3,39.43,60.437
4302006,BARROS CASSAL,31.72,17.16,647.994
4302055,BENJAMIN CONSTANT DO SUL,14.78,17.42,132.351
4302105,BENTO GONÇALVES,92.35,280.86,273.576
4302154,BOA VISTA DAS MISSÕES,41.91,10.85,196.064
4302204,BOA VISTA DO BURICÁ,66.41,60.46,109.541
4302220,BOA VISTA DO CADEADO,19.34,3.48,701.221
3168200,TAPIRAÍ,57.93,4.59,407.92
3169703,TURMALINA,71.59,15.66,1153.111
4302808,CAÇAPAVA DO SUL,75.42,11.06,3047.113
4302907,CACEQUI,87.39,5.77,2373.507
4303004,CACHOEIRA DO SUL,85.53,22.44,3736.158
2413805,TABOLEIRO GRANDE,81.44,18.67,124.093
4303301,CAIBATÉ,55.41,19.08,261.303
4304655,CAPÃO DO CIPÓ,16.72,3.08,1007.796
4304663,CAPÃO DO LEÃO,92.11,30.94,783.624
4304614,CANUDOS DO VALE,22.74,22.06,82.908
4304622,CAPÃO BONITO DO SUL,28.45,3.33,526.85
4304689,CAPELA DE SANTANA,59.55,63.19,182.595
4304705,CARAZINHO,98.21,89.19,666.694
4305173,CERRO GRANDE DO SUL,24.19,31.61,324.908
4305207,CERRO LARGO,79.55,74.79,176.643
4305306,CHAPADA,59.43,13.71,684.247
4305355,CHARQUEADAS,97.65,163.13,217.362
4305371,CHARRUA,16.83,17.52,198.748
4305405,CHIAPETTA,61.08,10.2,397.179
2413904,TAIPU,34.5,33.55,352.818
4305975,COXILHA,61.54,6.68,422.101
4306007,CRISSIUMAL,43.48,38.89,362.194
4306502,DOM FELICIANO,23.18,10.6,1355.195
2414506,UMARIZAL,85.08,49.91,213.584
4306601,DOM PEDRITO,90.63,7.49,5194.051
4305835,COQUEIRO BAIXO,18.46,13.61,112.439
4305850,COQUEIROS DO SUL,36.79,8.92,277.147
4305871,CORONEL BARROS,44.45,15.09,163.684
4305900,CORONEL BICACO,65.41,15.74,492.303
4306072,CRISTAL DO SUL,32.94,28.92,97.077
4306106,CRUZ ALTA,96.46,46.18,1360.548
4306205,CRUZEIRO DO SUL,60.68,79.2,155.058
4306932,ENTRE-IJUÍS,54.74,16.17,552.986
4306957,ENTRE RIOS DO SUL,69.16,25.65,119.912
4306973,EREBANGO,65.93,19.4,152.793
4307005,ERECHIM,94.24,223.11,429.164
4306320,DERRUBADAS,28.24,8.83,360.851
4306353,DEZESSEIS DE NOVEMBRO,23.27,13.22,217.363
4306379,DILERMANDO DE AGUIAR,32.34,5.1,600.518
4306403,DOIS IRMÃOS,98.93,423.17,66.114
4306429,DOIS IRMÃOS DAS MISSÕES,50.72,9.56,226.072
4306908,ENCRUZILHADA DO SUL,69.78,7.33,3348.447
4307104,HERVAL,66.92,3.84,1759.717
4307203,ERVAL GRANDE,52.1,18.06,285.677
4307302,ERVAL SECO,43.63,21.65,357.181
4307401,ESMERALDA,67.17,3.82,829.587
4307815,ESTRELA VELHA,32.17,12.88,281.613
4307831,EUGÊNIO DE CASTRO,52.89,6.67,418.069
4308201,FLORES DA CUNHA,76.88,99.2,276.231
4308250,FLORIANO PEIXOTO,14.47,11.98,168.521
4308409,FORMIGUEIRO,39.48,12.05,578.875
4308433,FORQUETINHA,18.88,26.49,93.275
4308706,GAURAMA,57.8,28.7,204.428
4308904,GETÚLIO VARGAS,85.81,56.37,287.466
4309001,GIRUÁ,75.59,19.95,857.059
4309050,GLORINHA,30,21.29,323.955
2414605,UPANEMA,48.48,14.87,873.14
4309605,HORIZONTINA,79.4,78.92,229.694
4309654,HULHA NEGRA,48.14,7.34,822.608
4309704,HUMAITÁ,59.18,36.57,135.01
4309753,IBARAMA,24.09,22.63,195.426
4309803,IBIAÇÁ,60.49,13.5,348.778
4309902,IBIRAIARAS,53.23,23.85,292.16
4309951,IBIRAPUITÃ,58.88,13.23,307.164
4310009,IBIRUBÁ,79.45,31.79,607.185
4310108,IGREJINHA,95.36,233.03,138.303
4310207,IJUÍ,90.67,114.51,688.982
4310553,ITACURUBI,34.41,3.07,1120.874
4311700,MACHADINHO,61.43,16.48,335.198
4310603,ITAQUI,87.3,11.21,3406.606
4310652,ITATI,8.2,12.49,205.06
4310702,ITATIBA DO SUL,41.45,19.66,212.669
4311775,MAQUINÉ,29.89,11.11,613.58
4311155,JÓIA,25.08,6.74,1238.918
4311205,JÚLIO DE CASTILHOS,82.26,10.15,1929.544
4311254,LAGOÃO,26.76,16.12,387.455
4311304,LAGOA VERMELHA,87.69,21.78,1260.227
2414704,VÁRZEA,82.52,72.04,72.684
4311627,LINDOLFO COLLOR,82.02,158.44,33.351
4311981,MARIANA PIMENTEL,16.93,11.15,338.45
4312054,MARQUES DE SOUZA,37.98,32.5,125.714
4312104,MATA,51.22,16.39,316.121
4312179,MATO QUEIMADO,26.63,15.69,114.653
4312302,MIRAGUAÍ,42.62,37.24,131.236
4312377,MONTE ALEGRE DOS CAMPOS,20.79,5.64,549.456
4312674,NICOLAU VERGUEIRO,36.96,11.04,154.995
4312708,NONOAI,75.08,25.73,468.962
4312807,NOVA ARAÇÁ,71.98,53.81,75.514
4312955,NOVA BOA VISTA,29.49,20.8,93.733
4313003,NOVA BRÉSCIA,47.46,30.97,102.994
4313011,NOVA CANDELÁRIA,25.77,28.12,97.579
4313086,NOVA PÁDUA,29.88,23.73,102.641
4313102,NOVA PALMA,48.61,20.23,314.613
4313656,PALMARES DO SUL,89.37,11.56,949.201
4313706,PALMEIRA DAS MISSÕES,86.9,24.18,1421.101
4313805,PALMITINHO,49.03,48.04,144.181
2414753,VENHA-VER,31.38,53.35,71.621
3171402,VIEIRAS,49.66,33.11,112.691
3171501,MATHIAS LOBATO,90.8,19.56,172.297
3171600,VIRGEM DA LAPA,50.22,15.67,868.914
4313409,NOVO HAMBURGO,98.27,1067.54,222.536
3200409,ANCHIETA,76,58.61,409.691
3200508,APIACÁ,69.4,38.8,193.984
4314001,PARAÍ,56.02,56.57,121.745
3202454,IBATIBA,59.8,92.77,240.278
3202504,IBIRAÇU,75.7,55.93,201.248
3202553,IBITIRAMA,35.5,27.19,330.874
5211008,ITAPIRAPUÃ,70.7,3.83,2047.874
5211206,ITAPURANGA,81.3,20.47,1281.404
5211305,ITARUMÃ,64.7,1.83,3437.367
4314050,PAROBÉ,94.43,474.03,108.707
4314068,PASSA SETE,10.77,16.92,304.833
4314076,PASSO DO SOBRADO,23.77,22.67,265.133
4314100,PASSO FUNDO,97.45,235.92,784.407
4314134,PAULO BENTO,27.05,14.8,149.669
4314175,PEDRAS ALTAS,34.72,1.61,1373.985
4314209,PEDRO OSÓRIO,93.47,12.83,603.757
5212105,JOVIÂNIA,90.9,15.98,446.258
4314555,PIRAPÓ,28.18,9.45,293.723
4314605,PIRATINI,58.31,5.61,3537.799
4314704,PLANALTO,56.37,45.67,228.552
4314779,PONTÃO,40.42,7.63,502.709
4302352,BOM PRINCÍPIO,78.02,133.2,88.774
4315156,PROGRESSO,30.39,24.09,256.039
4315172,PROTÁSIO ALVES,21.35,11.57,171.973
4315305,QUARAÍ,92.57,7.31,3139.995
4315313,QUATRO IRMÃOS,51.61,6.62,268.971
4315909,RODEIO BONITO,75.05,69.03,83.278
4315958,ROLADOR,23.88,8.63,295.326
4316436,SALDANHA MARINHO,67.17,12.95,221.554
4316451,SALTO DO JACUÍ,85.93,23.41,507.698
4316956,SANTA MARIA DO HERVAL,72.06,43.36,140.437
4316972,SANTA MARGARIDA DO SUL,23.47,2.46,955.299
4317004,SANTANA DA BOA VISTA,45.17,5.8,1420.616
4317103,SANT'ANA DO LIVRAMENTO,90.23,11.86,6946.407
4317202,SANTA ROSA,88.01,140.03,489.38
2210979,TANQUE DO PIAUÍ,47.29,6.57,398.007
4317806,SANTO AUGUSTO,81.47,29.84,467.775
4317905,SANTO CRISTO,54.12,39.19,367.202
4318002,SÃO BORJA,89.41,17.05,3616.69
4318101,SÃO FRANCISCO DE ASSIS,70.09,7.68,2506.975
4318200,SÃO FRANCISCO DE PAULA,63.32,6.27,3317.794
4318309,SÃO GABRIEL,88.99,12.03,5053.46
4318408,SÃO JERÔNIMO,77.05,23.64,935.596
4318440,SÃO JORGE,52.31,23.5,125.62
4319406,SÃO PEDRO DO SUL,72.88,18.74,873.394
4319505,SÃO SEBASTIÃO DO CAÍ,80.28,196.81,114.294
4319604,SÃO SEPÉ,79.09,10.81,2204.779
4319703,SÃO VALENTIM,48.02,23.56,154.45
4318622,SÃO JOSÉ DOS AUSENTES,62.67,2.8,1173.907
4318705,SÃO LEOPOLDO,99.6,2083.79,103.009
4318804,SÃO LOURENÇO DO SUL,56.22,21.17,2036.125
4318903,SÃO LUIZ GONZAGA,88.29,26.67,1295.522
4319000,SÃO MARCOS,87.54,78.45,256.177
4319109,SÃO MARTINHO,59.61,33.63,171.245
4319125,SÃO MARTINHO DA SERRA,29.43,4.78,669.547
4319158,SÃO MIGUEL DAS MISSÕES,50.22,6.03,1228.447
4319208,SÃO NICOLAU,64.47,11.8,485.588
4319307,SÃO PAULO DAS MISSÕES,34.55,28.43,223.942
4319356,SÃO PEDRO DA SERRA,43.11,93.68,35.062
4319737,SÃO VALÉRIO DO SUL,19.27,24.52,107.402
4319802,SÃO VICENTE DO SUL,69.68,7.18,1174.822
4319901,SAPIRANGA,96.4,542.13,136.473
4320651,SILVEIRA MARTINS,44.55,20.68,119.285
4320677,SINIMBU,14.27,19.74,510.233
4320701,SOBRADINHO,79.44,109.54,128.379
4320800,SOLEDADE,79.99,24.76,1215.056
4320107,SARANDI,84.28,60.23,351.717
4320206,SEBERI,54.35,36.15,300.827
4320263,SEGREDO,25.24,28.93,246.222
4320305,SELBACH,69.99,27.75,176.471
4320453,SÉRIO,23.24,22.9,98.131
4320503,SERTÃO,53.81,14.32,440.631
4320552,SERTÃO SANTANA,21.85,23.23,252.013
4320578,SETE DE SETEMBRO,23.26,16.34,129.238
4321204,TAQUARA,82.84,119.35,452.572
4321469,TIO HUGO,42.73,23.85,113.944
4321477,TIRADENTES DO SUL,32.47,27.55,236.653
4321493,TOROPI,20.7,14.54,198.316
4321402,TENENTE PORTELA,64.49,40.58,337.495
4322202,TUPANCIRETÃ,80.88,9.89,2253.234
2211100,UNIÃO,49.15,36.35,1170.742
2211209,URUÇUÍ,76.95,2.4,8413.016
2211308,VALENÇA DO PIAUÍ,77.72,15.23,1333.722
2211357,VÁRZEA BRANCA,23.35,10.9,450.429
4321634,TRÊS ARROIOS,35.97,19.21,148.601
4321709,TRÊS COROAS,86.15,128.53,165.285
4321808,TRÊS DE MAIO,79.92,56.2,421.461
4321832,TRÊS FORQUILHAS,13.21,13.4,217.386
4321907,TRÊS PASSOS,79.51,89.29,268.902
4323358,VILA LÂNGARO,17.01,14.14,151.695
4322103,TUCUNDUVA,68.41,32.62,181.198
4322301,TUPARENDI,61.87,27.81,307.71
4322327,TURUÇU,42.22,13.89,253.635
4322608,VENÂNCIO AIRES,62.78,85.28,772.588
4322707,VERA CRUZ,55.54,77.46,309.621
5005681,MUNDO NOVO,89.6,35.67,478.38
5005707,NAVIRAÍ,92.3,14.54,3189.667
5005806,NIOAQUE,49,3.67,3909.44
5006002,NOVA ALVORADA DO SUL,74.8,4.09,4025.012
5006200,NOVA ANDRADINA,85.1,9.54,4770.685
5006259,NOVO HORIZONTE DO SUL,53.8,5.82,849.19
5006309,PARANAÍBA,89,7.44,5405.48
1503804,JACUNDÁ,88.95,25.57,2008.315
2100154,ÁGUA DOCE DO MARANHÃO,27.1,26.13,442.292
1504422,MARITUBA,98.96,1047.44,103.214
1504455,MEDICILÂNDIA,34.98,3.3,8272.629
1504505,MELGAÇO,22.18,3.66,6774.065
5107941,TABAPORÃ,52.8,1.19,8439.05
1507706,SÃO SEBASTIÃO DA BOA VISTA,43.23,14.03,1632.251
1715259,NOVO JARDIM,72.28,1.88,1213.893
1715507,OLIVEIRA DE FÁTIMA,78.78,5.04,209.292
1715705,PALMEIRANTE,38.88,1.88,2638.465
1507979,TERRA SANTA,60.98,8.94,1895.883
1508001,TOMÉ-AÇU,55.85,10.98,5145.361
1508035,TRACUATEUA,26.43,29.33,868.025
1508050,TRAIRÃO,33.65,1.41,11991.085
1508084,TUCUMÃ,79.87,13.41,2512.594
1508407,XINGUARA,77.62,10.74,3779.348
1600055,SERRA DO NAVIO,58.8,0.56,7713.046
1600105,AMAPÁ,86.2,0.88,8454.847
1600154,PEDRA BRANCA DO AMAPARI,55.4,1.13,9622.29
1600204,CALÇOENE,81.2,0.63,14117.297
1600212,CUTIAS,52,2.22,2179.114
1600238,FERREIRA GOMES,72,1.15,4973.855
1600253,ITAUBAL,41.1,2.5,1622.867
1600279,LARANJAL DO JARI,94.9,1.29,30782.998
1600303,MACAPÁ,95.7,62.14,6563.849
1600402,MAZAGÃO,48.6,1.3,13294.778
1600501,OIAPOQUE,67.5,0.91,23034.393
1600535,PORTO GRANDE,64.3,3.82,4428.013
1600550,PRACUÚBA,49.6,0.77,4948.508
1600600,SANTANA,97.9,64.11,1541.224
1600709,TARTARUGALZINHO,51.9,1.87,6684.705
1600808,VITÓRIA DO JARI,82.9,5.01,2508.979
1700251,ABREULÂNDIA,61.73,1.26,1906.295
1700301,AGUIARNÓPOLIS,80.24,21.93,236.792
1700350,ALIANÇA DO TOCANTINS,83.87,3.59,1580.999
2101103,AXIXÁ,41.2,56.15,160.462
2101202,BACABAL,77.8,59.42,1656.736
5200605,ALTO PARAÍSO DE GOIÁS,75.8,2.65,2594.998
5200803,ALVORADA DO NORTE,85,6.42,1268.347
5200829,AMARALINA,32.1,2.56,1343.742
5200852,AMERICANO DO BRASIL,85.7,41.24,133.834
5200902,AMORINÓPOLIS,60.2,8.83,406.93
5201108,ANÁPOLIS,98.2,358.58,935.672
2101251,BACABEIRA,22.3,24.25,542.962
2101301,BACURI,52.3,21.08,850.491
2101350,BACURITUBA,26.9,7.85,413.651
2101400,BALSAS,87.1,6.36,13141.162
2101509,BARÃO DE GRAJAÚ,57.9,7.94,2209.414
2101608,BARRA DO CORDA,62.4,15.92,5187.673
2101707,BARREIRINHAS,40.1,17.65,3046.308
2101772,BELA VISTA DO MARANHÃO,42.9,47.17,147.954
2101806,BENEDITO LEITE,51.4,3.07,1784.64
2104404,GONÇALVES DIAS,44.4,19.9,883.588
5201306,ANICUNS,85.5,20.67,976.038
5201405,APARECIDA DE GOIÂNIA,99.9,1580.27,279.954
5201454,APARECIDA DO RIO DOCE,80.3,4.03,603.254
5201504,APORÉ,66.8,1.31,2899.237
5201603,ARAÇU,88.3,25.53,149.776
2101905,BEQUIMÃO,32.5,26.46,790.222
2101939,BERNARDO DO MEARIM,38.8,22.93,247.186
5201801,ARAGOIÂNIA,66.1,38.1,218.125
5202155,ARAGUAPAZ,69.2,3.42,2188.1
5202353,ARENÓPOLIS,58.6,3.05,1075.535
2102754,CAPINZAL DO NORTE,52.4,18.12,590.267
2102804,CAROLINA,67.8,3.72,6267.675
2102903,CARUTAPERA,73.7,17.86,1260.977
2103000,CAXIAS,76.4,30.12,5201.927
2103109,CEDRAL,23.3,35.63,285.211
2103125,CENTRAL DO MARANHÃO,51.8,24.72,319.538
2103158,CENTRO DO GUILHERME,56.3,11.7,1167.848
2103174,CENTRO NOVO DO MARANHÃO,31.3,2.13,8401.003
2103208,CHAPADINHA,72.1,22.59,3247.385
2103406,COELHO NETO,82.8,47.92,977.079
2103505,COLINAS,65.4,19.76,1978.695
2103554,CONCEIÇÃO DO LAGO-AÇU,47.6,19.69,725.664
2103604,COROATÁ,69.8,27.27,2263.692
2103703,CURURUPU,68.2,26.69,1257.608
2103752,DAVINÓPOLIS,83.4,37.44,332.249
2105658,JUNCO DO MARANHÃO,70.1,7.24,568.499
2920007,MAIQUINIQUE,78.8,17.85,588.297
2920106,MAIRI,57.5,20.29,906.68
2104503,GOVERNADOR ARCHER,65,22.63,445.856
2104552,GOVERNADOR EDISON LOBÃO,43.8,25.81,615.957
2106300,MAGALHÃES DE ALMEIDA,51,40.6,434.433
2106326,MARACAÇUMÉ,82.6,30.44,635.758
2104602,GOVERNADOR EUGÊNIO BARROS,29.3,19.57,647.989
2104628,GOVERNADOR LUIZ ROCHA,70.7,19.66,401.587
2104651,GOVERNADOR NEWTON BELLO,36,10.27,1144.146
2104677,GOVERNADOR NUNES FREIRE,62.8,24.49,1037.13
2106359,MARAJÁ DO SENA,14.4,5.56,1402.593
2920403,MANOEL VITORINO,51.2,6.38,2201.764
2920452,MANSIDÃO,38,3.96,3129.588
2920502,MARACÁS,71.9,10.92,2413.27
2920601,MARAGOGIPE,58.6,97.27,437.61
2920700,MARAÚ,18.6,23.2,848.885
2920809,MARCIONÍLIO SOUZA,50.6,8.22,1099.283
2920908,MASCOTE,79.8,18.95,742.689
2921005,MATA DE SÃO JOÃO,74.2,63.46,605.168
2921054,MATINA,31.2,14.37,773.278
2921104,MEDEIROS NETO,79.1,17.4,1311.739
2921203,MIGUEL CALMON,60.7,16.88,1599.672
2921302,MILAGRES,75.6,36.24,420.358
2921401,MIRANGABA,48.4,9.59,1751.778
2921450,MIRANTE,17.2,9.9,1172.86
2921500,MONTE SANTO,16.9,16.42,3034.197
2104701,GRAÇA ARANHA,47.4,22.62,271.445
2104800,GRAJAÚ,59.7,7.03,8861.717
2104909,GUIMARÃES,57.2,20.29,478.857
2105005,HUMBERTO DE CAMPOS,40.1,12.29,1714.625
2105104,ICATU,31.1,17.36,1124.445
2107704,PARAIBANO,78.3,37.89,530.517
2107803,PARNARAMA,39.1,10.06,3245.525
2107902,PASSAGEM FRANCA,59.6,12.93,1358.327
2921807,MORTUGABA,47.2,20.38,528.214
2921906,MUCUGÊ,39.6,4.3,2462.153
2105153,IGARAPÉ DO MEIO,49.5,34.04,368.685
2406700,LAJES,77.72,15.34,676.625
2922102,MUNDO NOVO,55.6,16.33,1491.99
2105203,IGARAPÉ GRANDE,60.4,29.5,346.218
2105302,IMPERATRIZ,94.8,180.79,1369.039
2105351,ITAIPAVA DO GRAJAÚ,30,11.54,1244.398
2105401,ITAPECURU MIRIM,55.8,42.21,1480.641
2105427,ITINGA DO MARANHÃO,70.9,6.94,3583.423
2105450,JATOBÁ,43.9,14.42,591.616
2105476,JENIPAPO DOS VIEIRAS,16.3,7.87,1962.362
2105500,JOÃO LISBOA,75.2,32,1137.104
2105609,JOSELÂNDIA,38.6,22.64,703.081
2922201,MUNIZ FERREIRA,46.4,66.45,104.54
2105708,LAGO DA PEDRA,65.2,37.68,1240.444
2105807,LAGO DO JUNCO,36.5,34.72,328.525
2105906,LAGO VERDE,32.8,24.73,631.455
2105922,LAGOA DO MATO,40.7,6.48,1512.985
2922300,MURITIBA,62.4,323.58,86.311
2922409,MUTUÍPE,45,75.74,275.854
